sno,sna,tot,lat,lng,sarea
1104,聯合醫院板橋院區,34,25.023832,121.457773,板橋區
1105,捷運板橋站(3號出口),68,25.014797,121.462051,板橋區
1106,民生公園,42,25.013087,121.475894,板橋區
1107,新北市政府(新府路),56,25.012374,121.464224,板橋區
1108,捷運板橋站(1號出口),102,25.013174,121.461900,板橋區
1109,板橋地政事務所,52,25.007983,121.463387,板橋區
1110,板橋戶政事務所,44,25.012839,121.456308,板橋區
1111,板橋和平公園,40,24.997679,121.464326,板橋區
1112,碧華公園,36,25.083741,121.487491,三重區
1113,五福里(五華街),52,25.081725,121.493902,三重區
1114,同安公園,30,25.057320,121.499067,三重區
1115,中華里(中華路二段),38,25.045951,121.453766,新莊區
1116,中華自治街口,36,25.047855,121.453202,新莊區
1117,捷運府中站(3號出口),42,25.008999,121.458776,板橋區
1118,捷運亞東醫院站(2號出口),52,24.997830,121.452315,板橋區
